num of racks affected,num of nodes affected,Occurance,probability
1,1,317659.0,0.9224324928638009
1,2,9991.0,0.029012315206565012
1,3,2050.0,0.00595288221133603
1,4,782.0,0.00227080677525111
1,5,401.0,0.0011644418374369503
1,6,244.0,0.0007085381753980446
1,7,165.0,0.00047913442188802195
1,8,120.0,0.0003484613977367432
1,9,92.0,0.0002671537382648365
1,10,73.0,0.00021198068362318547
2,1,0.0,0.0
2,2,6598.0,0.019159569185558598
2,3,1459.0,0.004236709827482569
2,4,582.0,0.0016900377790232046
2,5,308.0,0.0008943842541909743
2,6,191.0,0.0005546343913976497
2,7,132.0,0.0003833075375104175
2,8,97.0,0.0002816729631705341
2,9,75.0,0.00021778837358546452
2,10,61.0,0.00017713454384951115
3,1,0.0,0.0
3,2,0.0,0.0
3,3,2282.0,0.006626574246960401
3,4,293.0,0.0008508265794738814
3,5,86.0,0.0002497306683779993
3,6,38.0,0.00011034610928330202
3,7,21.0,6.0980744603930064e-05
3,8,14.0,4.065382973595338e-05
3,9,10.0,2.903844981139527e-05
3,10,7.0,2.032691486797669e-05
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,244.0,0.0007085381753980446
4,5,41.0,0.0001190576442267206
4,6,14.0,4.065382973595338e-05
4,7,7.0,2.032691486797669e-05
4,8,5.0,1.4519224905697635e-05
4,9,3.0,8.71153494341858e-06
4,10,3.0,8.71153494341858e-06
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,85.0,0.00024682682339685977
5,6,23.0,6.678843456620912e-05
5,7,10.0,2.903844981139527e-05
5,8,6.0,1.742306988683716e-05
5,9,4.0,1.1615379924558107e-05
5,10,3.0,8.71153494341858e-06
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
6,6,23.0,6.678843456620912e-05
6,7,10.0,2.903844981139527e-05
6,8,6.0,1.742306988683716e-05
6,9,4.0,1.1615379924558107e-05
6,10,3.0,8.71153494341858e-06
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.0
7,7,10.0,2.903844981139527e-05
7,8,6.0,1.742306988683716e-05
7,9,4.0,1.1615379924558107e-05
7,10,3.0,8.71153494341858e-06
8,1,0.0,0.0
8,2,0.0,0.0
8,3,0.0,0.0
8,4,0.0,0.0
8,5,0.0,0.0
8,6,0.0,0.0
8,7,0.0,0.0
8,8,6.0,1.742306988683716e-05
8,9,4.0,1.1615379924558107e-05
8,10,3.0,8.71153494341858e-06
9,1,0.0,0.0
9,2,0.0,0.0
9,3,0.0,0.0
9,4,0.0,0.0
9,5,0.0,0.0
9,6,0.0,0.0
9,7,0.0,0.0
9,8,0.0,0.0
9,9,4.0,1.1615379924558107e-05
9,10,3.0,8.71153494341858e-06
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
10,6,0.0,0.0
10,7,0.0,0.0
10,8,0.0,0.0
10,9,0.0,0.0
10,10,3.0,8.71153494341858e-06
